nome,produto,instituicao_display_name,prazo_original,meses_restantes,tipo_grupo,vagas_totais,vagas_disponiveis,data_vencimento,data_assembleia,participa_assembleia,taxa_administracao_total,taxa_administracao_antecipada,fundo_reserva,seguro_vida,redutor,lance_embutido,lance_fixo,media_lance,lance_minimo,lance_maximo,lances_contemplados
AF270,Automóvel,Porto,80,65,Em Andamento,60,60,15/08/2025,21/08/2025,14,16.00,0,2.00,0.038,20.00,30.00,0,55.72,0.92,91.67,14
AF269,Automóvel,Porto,80,64,Em Andamento,56,56,15/08/2025,21/08/2025,15,16.00,0,2.00,0.038,20.00,30.00,0,55.61,0.91,90.90,14
AF268,Automóvel,Porto,80,64,Em Andamento,47,47,15/08/2025,21/08/2025,15,16.00,0,2.00,0.038,20.00,30.00,0,55.26,0.89,89.17,9
AF264,Automóvel,Porto,80,63,Em Andamento,43,43,15/08/2025,21/08/2025,16,16.00,0,2.00,0.038,20.00,30.00,0,54.05,0.90,90.14,15
AF263,Automóvel,Porto,72,56,Em Andamento,109,109,15/08/2025,21/08/2025,15,18.00,0,2.00,0.038,20.00,30.00,0,53.74,0.90,89.90,14
AF262,Automóvel,Porto,72,56,Em Andamento,135,135,15/08/2025,21/08/2025,15,18.00,0,2.00,0.038,20.00,30.00,0,50.41,0.89,89.04,6
AF261,Automóvel,Porto,72,56,Em Andamento,120,120,15/08/2025,21/08/2025,15,18.00,0,2.00,0.038,20.00,30.00,0,53.92,0.90,89.90,5
AF260,Automóvel,Porto,72,56,Em Andamento,182,182,15/08/2025,21/08/2025,15,18.00,0,2.00,0.038,20.00,30.00,0,50.47,0.89,89.04,10
AF259,Automóvel,Porto,72,56,Em Andamento,134,134,15/08/2025,21/08/2025,15,18.00,0,2.00,0.038,20.00,30.00,0,53.47,0.90,89.90,8
AF258,Automóvel,Porto,72,56,Em Andamento,116,116,15/08/2025,21/08/2025,15,18.00,0,2.00,0.038,20.00,30.00,0,50.78,0.90,89.97,10
AF257,Automóvel,Porto,72,56,Em Andamento,157,157,15/08/2025,21/08/2025,15,18.00,0,2.00,0.038,20.00,30.00,0,52.20,0.90,89.90,10
AF256,Automóvel,Porto,72,55,Em Andamento,152,152,15/08/2025,21/08/2025,16,18.00,0,2.00,0.038,20.00,30.00,0,54.09,0.89,89.04,9
AF255,Automóvel,Porto,50,38,Em Andamento,15,15,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,48.12,0.91,90.75,17
AF254,Automóvel,Porto,50,38,Em Andamento,70,70,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,49.15,0.91,90.75,12
AF253,Automóvel,Porto,50,35,Em Andamento,33,33,15/08/2025,21/08/2025,14,18.00,0,2.00,0.038,20.00,30.00,0,49.04,0.86,85.98,23
AF252,Automóvel,Porto,50,34,Em Andamento,18,18,15/08/2025,21/08/2025,15,18.00,0,2.00,0.038,20.00,30.00,0,48.20,0.85,84.73,25
AF251,Automóvel,Porto,50,34,Em Andamento,29,29,15/08/2025,21/08/2025,15,18.00,0,2.00,0.038,20.00,30.00,0,47.33,0.85,84.73,34
AF250,Automóvel,Porto,90,78,Em Andamento,111,111,15/08/2025,21/08/2025,11,15.00,0,2.00,0.038,20.00,30.00,0,63.45,0.95,95.07,7
AF249,Automóvel,Porto,72,60,Em Andamento,78,78,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,57.08,0.94,93.81,3
AF246,Automóvel,Porto,50,40,Em Andamento,12,12,15/08/2025,21/08/2025,9,18.00,0,2.00,0.038,20.00,15.00,30.00,47.96,0.88,88.16,22
VP032,Veículos Pesados,Porto,120,110,Em Andamento,1,1,15/08/2025,21/08/2025,9,14.00,0,2.00,0.038,20.00,30.00,40.00,66.35,0.97,97.49,6
VP029,Veículos Pesados,Porto,120,109,Em Andamento,153,153,15/08/2025,21/08/2025,10,14.00,0,2.00,0.038,20.00,30.00,40.00,69.12,0.97,96.78,1
VP028,Veículos Pesados,Porto,120,108,Em Andamento,55,55,15/08/2025,21/08/2025,11,14.00,0,2.00,0.038,20.00,30.00,40.00,64.77,0.96,96.42,9
VP027,Veículos Pesados,Porto,120,105,Em Andamento,69,69,15/08/2025,21/08/2025,14,14.00,0,2.00,0.038,20.00,30.00,40.00,66.57,0.94,93.76,5
VP024,Veículos Pesados,Porto,120,98,Em Andamento,25,25,15/08/2025,21/08/2025,21,14.00,0,2.00,0.038,20.00,30.00,40.00,64.18,0.92,92.09,9
VP023,Veículos Pesados,Porto,120,93,Em Andamento,13,13,15/08/2025,21/08/2025,26,14.00,0,1.75,0.038,20.00,30.00,40.00,65.13,0.86,86.28,4
AF399,Automóvel,Porto,72,71,Em Formação,88,88,-,-,1,18.00,0,2.00,0.038,20.00,15.00,0,-,0.99,99.24,0
AF396,Automóvel,Porto,50,49,Em Formação,441,441,-,-,1,18.00,0,2.00,0.038,20.00,15.00,0,-,0.99,98.85,0
A0288,Automóvel,Porto,80,4,Em Andamento,5,5,15/08/2025,21/08/2025,75,16.50,0,0.50,0.038,0,0,0,-,0.09,7.50,0
A0289,Automóvel,Porto,80,4,Em Andamento,5,5,15/08/2025,21/08/2025,"75
VALOR DO CREDITO",16.50,0,0.50,0.038,0,0,0,-,0.11,9.15,0
A0294,Automóvel,Porto,80,9,Em Andamento,1,1,15/08/2025,21/08/2025,"70
VALOR DO CREDITO",15.50,0,0.50,0.038,0,20.00,0,11.73,0.20,15.75,1
A0301,Automóvel,Porto,72,4,Em Andamento,2,2,15/08/2025,21/08/2025,"67
 VALOR DO CREDITO",18.00,0,0.50,0.038,0,0,0,9.23,0.14,9.72,0
A0302,Automóvel,Porto,72,5,Em Andamento,3,3,15/08/2025,21/08/2025,"66
VALOR DO CREDITO",18.00,0,0.50,0.038,0,0,0,-,0.07,5.04,0
A0303,Automóvel,Porto,72,8,Em Andamento,4,4,15/08/2025,21/08/2025,"63
VALOR DO CREDITO",18.00,0,0.50,0.038,0,0,0,12.08,0.19,13.46,0
A0304,Automóvel,Porto,72,9,Em Andamento,3,3,15/08/2025,21/08/2025,"62
VALOR DO CREDITO",18.00,0,0.50,0.038,0,0,0,2.42,0.29,21.16,1
A0305,Automóvel,Porto,72,10,Em Andamento,3,3,15/08/2025,21/08/2025,"61
VALOR DO CREDITO",18.00,0,0.50,0.038,0,0,0,9.42,0.52,37.54,2
A0306,Automóvel,Porto,72,10,Em Andamento,6,6,15/08/2025,21/08/2025,"61
VALOR DO CREDITO",18.00,0,0.50,0.038,0,0,0,16.36,0.52,37.54,0
A0307,Automóvel,Porto,72,11,Em Andamento,5,5,15/08/2025,21/08/2025,"60
VALOR DO CREDITO",18.00,0,0.50,0.038,0,0,0,13.61,0.54,38.58,1
A0308,Automóvel,Porto,72,11,Em Andamento,2,2,15/08/2025,21/08/2025,"60
VALOR DO CRÉDITO",18.00,0,0.50,0.038,0,0,0,13.75,0.52,37.53,1
A0309,Automóvel,Porto,72,12,Em Andamento,7,7,15/08/2025,21/08/2025,"59
VALOR DO CREDITO",18.00,0,0.50,0.038,0,0,0,13.01,0.29,21.12,0
A0310,Automóvel,Porto,72,13,Em Andamento,5,5,15/08/2025,21/08/2025,"58
VALOR DO CRÉDITO",18.00,0,0.50,0.038,0,0,0,16.45,0.29,20.83,0
A0311,Automóvel,Porto,72,13,Em Andamento,5,5,15/08/2025,21/08/2025,"58
VALOR DO CREDITO",18.00,0,0.50,0.038,0,0,0,12.67,0.48,34.49,4
A0312,Automóvel,Porto,72,13,Em Andamento,2,2,15/08/2025,21/08/2025,"58
VALOR DO CREDITO",18.00,0,0.50,0.038,0,0,0,15.83,0.51,36.70,2
A0313,Automóvel,Porto,72,14,Em Andamento,3,3,15/08/2025,21/08/2025,"57
VALOR DO CRÉDITO",18.00,0,0.50,0.038,0,0,0,12.17,0.53,37.81,3
