Grupo,Produto,Tipo,Prazo original,Meses restantes,TX Adm (%),TX Ant. (%),F.R (%),Seguro (%),Redutor Parcela,Lance Embutido,Lance Fixo,Lance Mínimo,Lance Máximo,Média Lance Últimos 6 Meses,Lances Contemplados Último Mês,Vagas Disponíveis
I0319,Imóvel,Em andamento,200,178,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.15,59.91,0,28
I0318,Imóvel,Em andamento,200,179,23.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.44,58.97,1,189
I0317,Imóvel,Em andamento,200,178,23.0,2.0,2.0,0.038,25.0,30.0,40.0,0.96,95.95,64.39,2,176
I0316,Imóvel,Em andamento,200,178,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.45,55.6,5,51
I0315,Imóvel,Em andamento,200,178,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.19,64.25,5,84
I0314,Imóvel,Em andamento,200,178,23.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.24,61.6,2,214
I0313,Imóvel,Em andamento,200,178,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,94.87,55.72,0,12
I0312,Imóvel,Em andamento,200,178,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.15,61.44,2,27
I0311,Imóvel,Em andamento,200,179,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.97,97.0,60.84,2,22
I0310,Imóvel,Em andamento,200,178,17.5,2.0,0.5,0.038,25.0,30.0,0.0,0.93,92.86,64.27,2,226
I0309,Imóvel,Em andamento,200,178,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.12,64.07,1,35
I0308,Imóvel,Em andamento,200,178,23.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.24,61.33,3,233
I0307,Imóvel,Em andamento,200,177,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.93,92.78,60.5,6,139
I0306,Imóvel,Em andamento,200,178,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.93,92.98,60.82,1,75
I0304,Imóvel,Em andamento,200,175,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.94,93.68,63.1,2,63
I0303,Imóvel,Em andamento,200,178,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.19,57.93,4,39
I0302,Imóvel,Em andamento,200,178,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.19,61.21,3,62
I0301,Imóvel,Em andamento,200,177,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.93,92.64,61.05,7,24
I0300,Imóvel,Em andamento,200,175,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.94,93.7,60.47,4,129
I0299,Imóvel,Em andamento,200,178,23.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.24,57.72,4,65
I0298,Imóvel,Em andamento,200,176,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.94,94.06,54.31,2,88
I0297,Imóvel,Em andamento,200,175,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.94,94.06,60.37,3,39
I0296,Imóvel,Em andamento,200,174,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.94,93.87,62.48,1,91
I0295,Imóvel,Em andamento,200,175,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.94,94.01,59.85,4,112
I0294,Imóvel,Em andamento,200,174,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.93,93.45,59.86,5,138
I0293,Imóvel,Em andamento,200,174,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.92,91.9,63.25,1,95
I0292,Imóvel,Em andamento,200,174,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.92,91.61,60.47,1,119
I0291,Imóvel,Em andamento,200,167,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.93,92.75,62.81,1,167
I0290,Imóvel,Em andamento,200,178,17.5,2.0,2.0,0.038,25.0,30.0,0.0,0.96,95.62,61.94,0,230
I0289,Imóvel,Em andamento,200,176,17.5,2.0,0.5,0.038,25.0,30.0,0.0,0.93,93.33,63.2,4,181
I0288,Imóvel,Em andamento,200,166,17.5,2.0,0.5,0.038,25.0,30.0,0.0,0.94,93.72,64.82,4,72
I0287,Imóvel,Em andamento,200,167,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.93,92.68,63.58,2,59
I0286,Imóvel,Em andamento,200,166,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.92,92.44,62.15,4,39
I0285,Imóvel,Em andamento,200,166,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.9,90.11,62.54,4,89
I0284,Imóvel,Em andamento,200,174,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.45,90.66,60.14,5,41
I0283,Imóvel,Em andamento,200,166,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.46,92.61,60.78,5,57
I0282,Imóvel,Em andamento,200,166,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.46,92.34,64.48,4,14
I0281,Imóvel,Em andamento,200,164,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.91,91.41,56.86,9,34
I0280,Imóvel,Em andamento,200,166,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.93,92.85,63.33,1,21
I0279,Imóvel,Em andamento,200,164,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.89,88.54,65.66,1,55
I0278,Imóvel,Em andamento,200,166,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.93,92.51,58.37,1,137
I0277,Imóvel,Em andamento,200,166,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.93,92.52,55.85,2,174
I0276,Imóvel,Em andamento,200,164,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.89,88.88,63.07,3,112
I0275,Imóvel,Em andamento,200,164,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.89,88.51,59.38,3,8
I0274,Imóvel,Em andamento,200,164,17.5,2.0,0.5,0.038,25.0,30.0,0.0,0.89,88.73,62.96,4,55
I0273,Imóvel,Em andamento,200,162,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.86,86.17,63.02,1,17
I0272,Imóvel,Em andamento,200,163,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.88,88.18,62.12,4,62
I0271,Imóvel,Em andamento,200,164,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.89,88.53,62.54,2,73
I0270,Imóvel,Em andamento,200,162,17.5,2.0,0.5,0.038,25.0,30.0,0.0,0.89,88.86,65.95,1,24
I0269,Imóvel,Em andamento,200,161,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.86,85.77,64.67,2,49
I0268,Imóvel,Em andamento,200,163,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.91,90.88,56.06,1,51
I0267,Imóvel,Em andamento,200,160,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.85,85.39,54.44,1,124
I0266,Imóvel,Em andamento,200,159,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.85,85.39,63.88,1,27
I0265,Imóvel,Em andamento,200,158,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.85,85.1,60.06,3,118
I0264,Imóvel,Em andamento,200,159,21.0,2.0,0.5,0.038,25.0,30.0,40.0,0.88,87.64,56.69,2,7
I0263,Imóvel,Em andamento,200,158,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.78,77.52,64.64,1,45
I0262,Imóvel,Em andamento,200,155,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.84,84.17,61.67,2,105
I0261,Imóvel,Em andamento,200,154,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.84,83.79,59.93,1,88
I0260,Imóvel,Em andamento,200,156,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.84,84.37,59.2,1,126
I0259,Imóvel,Em andamento,200,158,23.0,2.0,0.5,0.038,25.0,30.0,40.0,0.85,84.64,59.14,1,24
I0258,Imóvel,Em andamento,200,157,19.0,2.0,0.5,0.038,25.0,30.0,40.0,0.85,84.93,63.07,3,30
